nome,perceptron,metrica_f1,perceptron_acc,svm,svm_acc,bayes,bayes_acc,trees,trees_acc,knn,knn_acc
tic-tac-toe,perceptron,0.77,0.62,svm,0.69,bayes,0.71,trees,0.86,knn,0.82
tic-tac-toe,perceptron,0.79,0.52,svm,0.68,bayes,0.74,trees,0.92,knn,0.83
tic-tac-toe,perceptron,0.75,0.6,svm,0.64,bayes,0.7,trees,0.88,knn,0.79
tic-tac-toe,perceptron,0.78,0.37,svm,0.65,bayes,0.66,trees,0.9,knn,0.81
tic-tac-toe,perceptron,0.81,0.68,svm,0.69,bayes,0.74,trees,0.85,knn,0.84
tic-tac-toe,perceptron,0.82,0.68,svm,0.69,bayes,0.71,trees,0.9,knn,0.86
tic-tac-toe,perceptron,0.84,0.3,svm,0.7,bayes,0.75,trees,0.89,knn,0.87
tic-tac-toe,perceptron,0.78,0.65,svm,0.67,bayes,0.68,trees,0.92,knn,0.82
tic-tac-toe,perceptron,0.73,0.61,svm,0.64,bayes,0.7,trees,0.82,knn,0.77
tic-tac-toe,perceptron,0.76,0.64,svm,0.65,bayes,0.71,trees,0.84,knn,0.8
tic-tac-toe,perceptron,0.82,0.41,svm,0.71,bayes,0.72,trees,0.85,knn,0.86
tic-tac-toe,perceptron,0.78,0.35,svm,0.67,bayes,0.73,trees,0.86,knn,0.81
tic-tac-toe,perceptron,0.81,0.41,svm,0.69,bayes,0.7,trees,0.89,knn,0.84
tic-tac-toe,perceptron,0.78,0.62,svm,0.63,bayes,0.7,trees,0.91,knn,0.81
tic-tac-toe,perceptron,0.78,0.53,svm,0.67,bayes,0.7,trees,0.9,knn,0.83
tic-tac-toe,perceptron,0.8,0.46,svm,0.66,bayes,0.7,trees,0.85,knn,0.83
tic-tac-toe,perceptron,0.73,0.64,svm,0.61,bayes,0.69,trees,0.88,knn,0.77
tic-tac-toe,perceptron,0.82,0.67,svm,0.72,bayes,0.71,trees,0.9,knn,0.86
tic-tac-toe,perceptron,0.79,0.49,svm,0.68,bayes,0.7,trees,0.89,knn,0.82
tic-tac-toe,perceptron,0.8,0.55,svm,0.68,bayes,0.72,trees,0.91,knn,0.84
