dataset,classifier,metric,author,fold,value
bank,perceptron,f1,ana--beatriz,v1,0.6026277569493701
bank,perceptron,acc,ana--beatriz,v1,0.8850828729281768
bank,svm,f1,ana--beatriz,v1,0.4713785046728972
bank,svm,acc,ana--beatriz,v1,0.8917127071823204
bank,naive_bayes,f1,ana--beatriz,v1,0.6294320923257481
bank,naive_bayes,acc,ana--beatriz,v1,0.8265193370165745
bank,decision_tree,f1,ana--beatriz,v1,0.6853783231083845
bank,decision_tree,acc,ana--beatriz,v1,0.887292817679558
bank,knn,f1,ana--beatriz,v1,0.5217904322175195
bank,knn,acc,ana--beatriz,v1,0.8861878453038674
glass_identification,perceptron,acc,andrey--jodar,v1,0.4285714285714285
glass_identification,svm,f1,andrey--jodar,v1,0.22
glass_identification,svm,acc,andrey--jodar,v1,0.4047619047619047
glass_identification,naive_bayes,f1,andrey--jodar,v1,0.3832671957671957
glass_identification,naive_bayes,acc,andrey--jodar,v1,0.3333333333333333
glass_identification,decision_tree,f1,andrey--jodar,v1,0.6656445406445407
glass_identification,decision_tree,acc,andrey--jodar,v1,0.6666666666666666
glass_identification,knn,f1,andrey--jodar,v1,0.3433333333333333
glass_identification,knn,acc,andrey--jodar,v1,0.5238095238095238
spambase,perceptron,f1,arthur--heiji,v1,0.8875547559449312
spambase,perceptron,acc,arthur--heiji,v1,0.8913043478260869
spambase,svm,f1,arthur--heiji,v1,0.9233449818900068
spambase,svm,acc,arthur--heiji,v1,0.9260869565217392
spambase,naive_bayes,f1,arthur--heiji,v1,0.7998145730449755
spambase,naive_bayes,acc,arthur--heiji,v1,0.8
spambase,decision_tree,f1,arthur--heiji,v1,0.909103217614362
spambase,decision_tree,acc,arthur--heiji,v1,0.9119565217391304
spambase,knn,f1,arthur--heiji,v1,0.9037153322867608
spambase,knn,acc,arthur--heiji,v1,0.907608695652174
wine_quality_red,perceptron,f1,arthur-hydeki,v1,0.7769451309941722
wine_quality_red,svm,acc,arthur-hydeki,v1,0.9255507640359134
wine_quality_red,svm,f1,arthur-hydeki,v1,0.9326344829083816
wine_quality_red,naive_bayes,acc,arthur-hydeki,v1,0.8403241325631003
wine_quality_red,naive_bayes,f1,arthur-hydeki,v1,0.866115669703344
wine_quality_red,knn,acc,arthur-hydeki,v1,0.7432030287682991
wine_quality_red,knn,f1,arthur-hydeki,v1,0.8362311063929337
wine_quality_red,decision_tree,acc,arthur-hydeki,v1,0.9578704492527772
wine_quality_red,decision_tree,f1,arthur-hydeki,v1,0.7850585589191517
insurance,logistic_regression,acc,arthur-protazio,v1,0.8544776119402985
insurance,logistic_regression,f1,arthur-protazio,v1,0.8481986815009203
insurance,decision_tree,acc,arthur-protazio,v1,0.8097014925373134
insurance,decision_tree,f1,arthur-protazio,v1,0.8099135635131072
insurance,random_forest,acc,arthur-protazio,v1,0.9029850746268656
insurance,random_forest,f1,arthur-protazio,v1,0.901363379051258
insurance,knn,acc,arthur-protazio,v1,0.8134328358208955
insurance,knn,f1,arthur-protazio,v1,0.8113834407519614
insurance,svm,acc,arthur-protazio,v1,0.9029850746268656
insurance,svm,f1,arthur-protazio,v1,0.9009203147106356
column_2c,perceptron,f1,eduardo-barbeiro,v1,0.4433497536945812
column_2c,perceptron,acc,eduardo-barbeiro,v1,0.5967741935483871
column_2c,svm,f1,eduardo-barbeiro,v1,0.5139010828211882
column_2c,svm,acc,eduardo-barbeiro,v1,0.7419354838709677
column_2c,naive_bayes,f1,eduardo-barbeiro,v1,0.8357142857142857
column_2c,naive_bayes,acc,eduardo-barbeiro,v1,0.8870967741935484
column_2c,decision_tree,f1,eduardo-barbeiro,v1,0.8238977165105755
column_2c,decision_tree,acc,eduardo-barbeiro,v1,0.8548387096774194
column_2c,knn,f1,eduardo-barbeiro,v1,0.7760210803689064
column_2c,knn,acc,eduardo-barbeiro,v1,0.8225806451612904
Automobile,perceptron,acc,eduardo-cavazin,v1,0.2258064516129032
Automobile,svm,f1,eduardo-cavazin,v1,0.2786764705882353
Automobile,svm,acc,eduardo-cavazin,v1,0.5483870967741935
Automobile,naive_bayes,f1,eduardo-cavazin,v1,0.3161904761904762
Automobile,naive_bayes,acc,eduardo-cavazin,v1,0.4516129032258064
Automobile,decision_tree,f1,eduardo-cavazin,v1,0.6227106227106227
Automobile,decision_tree,acc,eduardo-cavazin,v1,0.7741935483870968
Automobile,knn,f1,eduardo-cavazin,v1,0.6548387096774194
Automobile,knn,acc,eduardo-cavazin,v1,0.7096774193548387
accelerator-mobile,perceptron,f1,gregory--soares,v1,0.496
accelerator-mobile,perceptron,acc,gregory--soares,v1,0.982
accelerator-mobile,svm,f1,gregory--soares,v1,0.829
accelerator-mobile,svm,acc,gregory--soares,v1,0.99
accelerator-mobile,naive_bayes,f1,gregory--soares,v1,0.496
accelerator-mobile,naive_bayes,acc,gregory--soares,v1,0.982
accelerator-mobile,decision_tree,f1,gregory--soares,v1,0.914
accelerator-mobile,decision_tree,acc,gregory--soares,v1,0.994
accelerator-mobile,knn,f1,gregory--soares,v1,0.853
accelerator-mobile,knn,acc,gregory--soares,v1,0.99
iris,perceptron,acc,gustavo--cruz-v2,v1,0.9
iris,perceptron,f1,gustavo--cruz-v2,v1,0.4736842105263157
iris,svm,acc,gustavo--cruz-v2,v1,1.0
iris,svm,f1,gustavo--cruz-v2,v1,1.0
iris,naive_bayes,acc,gustavo--cruz-v2,v1,0.9666666666666668
iris,naive_bayes,f1,gustavo--cruz-v2,v1,0.6470588235294118
iris,decision_tree,acc,gustavo--cruz-v2,v1,0.8333333333333334
iris,decision_tree,f1,gustavo--cruz-v2,v1,0.4545454545454545
iris,knn,acc,gustavo--cruz-v2,v1,0.9666666666666668
iris,knn,f1,gustavo--cruz-v2,v1,0.9663299663299664
garments-workers,perceptron,acc,isaque--cruz,v1,0.7714932126696833
garments-workers,perceptron,f1,isaque--cruz,v1,0.627172433375926
garments-workers,svm,acc,isaque--cruz,v1,0.7285067873303167
garments-workers,svm,f1,isaque--cruz,v1,0.4371816638370118
garments-workers,naive_bayes,acc,isaque--cruz,v1,0.7737556561085973
garments-workers,naive_bayes,f1,isaque--cruz,v1,0.6422211429496519
garments-workers,decision_tree,acc,isaque--cruz,v1,0.7963800904977375
garments-workers,decision_tree,f1,isaque--cruz,v1,0.7112453180801952
garments-workers,knn,acc,isaque--cruz,v1,0.7850678733031674
garments-workers,knn,f1,isaque--cruz,v1,0.7168099814533806
wine,perceptron,acc,larissa-v2,v1,0.9722222222222222
wine,perceptron,f1,larissa-v2,v1,0.974320987654321
wine,svm,acc,larissa-v2,v1,0.9722222222222222
wine,svm,f1,larissa-v2,v1,0.9717813051146384
wine,naive_bayes,acc,larissa-v2,v1,0.9444444444444444
wine,naive_bayes,f1,larissa-v2,v1,0.945824706694272
wine,knn,acc,larissa-v2,v1,0.9166666666666666
wine,knn,f1,larissa-v2,v1,0.9163636363636364
wine,decision_tree,acc,larissa-v2,v1,0.9444444444444444
wine,decision_tree,f1,larissa-v2,v1,0.9484126984126984
tic_tac_toe,perceptron,f1,leandro-menoni,v1,0.4
tic_tac_toe,perceptron,acc,leandro-menoni,v1,0.66
tic_tac_toe,svm,f1,leandro-menoni,v1,0.46
tic_tac_toe,svm,acc,leandro-menoni,v1,0.68
tic_tac_toe,naive_bayes,f1,leandro-menoni,v1,0.6
tic_tac_toe,naive_bayes,acc,leandro-menoni,v1,0.73
tic_tac_toe,decision_tree,f1,leandro-menoni,v1,0.86
tic_tac_toe,decision_tree,acc,leandro-menoni,v1,0.88
tic_tac_toe,knn,f1,leandro-menoni,v1,0.83
tic_tac_toe,knn,acc,leandro-menoni,v1,0.86
wine-white,decision_tree,acc,lucas-v2,v1,0.7834525025536262
wine-white,decision_tree,f1,lucas-v2,v1,0.7471393762183236
wine-white,knn,acc,lucas-v2,v1,0.7834525025536262
wine-white,knn,f1,lucas-v2,v1,0.7480455282657887
wine-white,naive_bayes,acc,lucas-v2,v1,0.7048008171603677
wine-white,naive_bayes,f1,lucas-v2,v1,0.6669601584855822
wine-white,perceptron,acc,lucas-v2,v1,0.7405515832482125
wine-white,perceptron,f1,lucas-v2,v1,0.6264930305215093
wine-white,svm,acc,lucas-v2,v1,0.7517875383043923
wine-white,svm,f1,lucas-v2,v1,0.6542400816230428
data.csv,perceptron,acc,luiz-miguel-silva,v1,0.695
data.csv,perceptron,f1,luiz-miguel-silva,v1,0.626131054541958
data.csv,svm,acc,luiz-miguel-silva,v1,0.7325
data.csv,svm,f1,luiz-miguel-silva,v1,0.5785650623885918
data.csv,naive_bayes,acc,luiz-miguel-silva,v1,0.675
data.csv,naive_bayes,f1,luiz-miguel-silva,v1,0.5759757354946173
data.csv,knn,acc,luiz-miguel-silva,v1,0.6675
data.csv,knn,f1,luiz-miguel-silva,v1,0.5655992920143863
data.csv,decision_tree,acc,luiz-miguel-silva,v1,0.655
data.csv,decision_tree,f1,luiz-miguel-silva,v1,0.5911057745811278
breast-cancer-wisconsin.csv,perceptron,acc,mateus--raskoski,v1,0.9357142857142856
breast-cancer-wisconsin.csv,perceptron,f1,mateus--raskoski,v1,0.9355496850233692
breast-cancer-wisconsin.csv,svm,acc,mateus--raskoski,v1,0.9571428571428572
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v1,0.9573446961202065
breast-cancer-wisconsin.csv,naive_bayes,acc,mateus--raskoski,v1,0.95
breast-cancer-wisconsin.csv,naive_bayes,f1,mateus--raskoski,v1,0.9503432111166916
breast-cancer-wisconsin.csv,knn,acc,mateus--raskoski,v1,0.9642857142857144
breast-cancer-wisconsin.csv,knn,f1,mateus--raskoski,v1,0.9643722285263608
breast-cancer-wisconsin.csv,decision_tree,acc,mateus--raskoski,v1,0.9285714285714286
breast-cancer-wisconsin.csv,decision_tree,f1,mateus--raskoski,v1,0.9285714285714286
iris,perceptron,acc,pablo-v2,v1,0.7
iris,perceptron,f1,pablo-v2,v1,0.6800275076137146
iris,svm,acc,pablo-v2,v1,1.0
iris,svm,f1,pablo-v2,v1,1.0
iris,naive_bayes,acc,pablo-v2,v1,1.0
iris,naive_bayes,f1,pablo-v2,v1,1.0
iris,knn,acc,pablo-v2,v1,1.0
iris,knn,f1,pablo-v2,v1,1.0
iris,decision_tree,acc,pablo-v2,v1,1.0
iris,decision_tree,f1,pablo-v2,v1,1.0
bank,perceptron,acc,rafael-leonardo,v1,0.6955568171905142
bank,perceptron,f1,rafael-leonardo,v1,0.6780238245863692
bank,svm,acc,rafael-leonardo,v1,0.6938500312654781
bank,svm,f1,rafael-leonardo,v1,0.7458385623766756
bank,naive_bayes,acc,rafael-leonardo,v1,0.7394879322103111
bank,naive_bayes,f1,rafael-leonardo,v1,0.5843560336599342
bank,knn,acc,rafael-leonardo,v1,0.7991536056585666
bank,knn,f1,rafael-leonardo,v1,0.7523618746711175
bank,decision_tree,acc,rafael-leonardo,v1,0.6970751069383353
bank,decision_tree,f1,rafael-leonardo,v1,0.7531224179014425
Rice,perceptron,acc,rafael-scarpelli,v1,0.7
Rice,perceptron,f1,rafael-scarpelli,v1,0.6238244514106583
Rice,svm,acc,rafael-scarpelli,v1,0.9666666666666668
Rice,svm,f1,rafael-scarpelli,v1,0.9665831244778612
Rice,naive_bayes,acc,rafael-scarpelli,v1,0.9666666666666668
Rice,naive_bayes,f1,rafael-scarpelli,v1,0.9665831244778612
Rice,knn,acc,rafael-scarpelli,v1,1.0
Rice,knn,f1,rafael-scarpelli,v1,1.0
Rice,decision_tree,acc,rafael-scarpelli,v1,0.9
Rice,decision_tree,f1,rafael-scarpelli,v1,0.8976982097186701
Mushroom,perceptron,acc,renato-augusto-v2,v1,0.9113475177304964
Mushroom,svm,f1,renato-augusto-v2,v1,0.9725177304964538
Mushroom,svm,acc,renato-augusto-v2,v1,0.9725177304964538
Mushroom,naive_bayes,f1,renato-augusto-v2,v1,0.6693262411347518
Mushroom,naive_bayes,acc,renato-augusto-v2,v1,0.6693262411347518
Mushroom,decision_tree,f1,renato-augusto-v2,v1,1.0
Mushroom,decision_tree,acc,renato-augusto-v2,v1,1.0
Mushroom,knn,f1,renato-augusto-v2,v1,1.0
Mushroom,knn,acc,renato-augusto-v2,v1,1.0
car.csv,perceptron,f1,romulo-jordao,v1,0.7708856033933433
car.csv,perceptron,acc,romulo-jordao,v1,0.8988439306358381
car.csv,svm,f1,romulo-jordao,v1,0.8899062156508173
car.csv,svm,acc,romulo-jordao,v1,0.9566473988439308
car.csv,naive_bayes,f1,romulo-jordao,v1,0.6955683118924367
car.csv,naive_bayes,acc,romulo-jordao,v1,0.791907514450867
car.csv,knn,f1,romulo-jordao,v1,0.42736090038405
car.csv,knn,acc,romulo-jordao,v1,0.8063583815028902
car.csv,decision_tree,f1,romulo-jordao,v1,0.9442094069979556
car.csv,decision_tree,acc,romulo-jordao,v1,0.9682080924855492
mushroom,perceptron,f1,thalles--barros,v1,0.472306540641478
mushroom,svm,acc,thalles--barros,v1,0.7801724137931034
mushroom,svm,f1,thalles--barros,v1,0.688500253866426
mushroom,naive_bayes,acc,thalles--barros,v1,0.4716748768472906
mushroom,naive_bayes,f1,thalles--barros,v1,0.4410728382463369
mushroom,decision_tree,acc,thalles--barros,v1,1.0
mushroom,decision_tree,f1,thalles--barros,v1,1.0
mushroom,knn,acc,thalles--barros,v1,0.6958128078817734
mushroom,knn,f1,thalles--barros,v1,0.6958128078817734
agaricus-lepiota,perceptron,f1,vitor--garcia,v1,0.9136652783785666
agaricus-lepiota,perceptron,acc,vitor--garcia,v1,0.921099290780142
agaricus-lepiota,svm,f1,vitor--garcia,v1,1.0
agaricus-lepiota,svm,acc,vitor--garcia,v1,1.0
agaricus-lepiota,naive_bayes,f1,vitor--garcia,v1,0.6059167463140986
agaricus-lepiota,naive_bayes,acc,vitor--garcia,v1,0.7047872340425532
agaricus-lepiota,decision_tree,f1,vitor--garcia,v1,1.0
agaricus-lepiota,decision_tree,acc,vitor--garcia,v1,1.0
agaricus-lepiota,knn,f1,vitor--garcia,v1,1.0
agaricus-lepiota,knn,acc,vitor--garcia,v1,1.0
Car Evaluation,perceptron,f1,vitor-oliveira,v1,0.7047619047619047
Car Evaluation,svm,acc,vitor-oliveira,v1,0.8815028901734104
Car Evaluation,svm,f1,vitor-oliveira,v1,0.7600000000000001
Car Evaluation,naive_bayes,acc,vitor-oliveira,v1,0.7398843930635838
Car Evaluation,naive_bayes,f1,vitor-oliveira,v1,0.5454545454545454
Car Evaluation,decision_tree,acc,vitor-oliveira,v1,0.976878612716763
Car Evaluation,decision_tree,f1,vitor-oliveira,v1,0.9855072463768116
Car Evaluation,knn,acc,vitor-oliveira,v1,0.9132947976878611
Car Evaluation,knn,f1,vitor-oliveira,v1,0.9281767955801106
bank,perceptron,f1,ana--beatriz,v2,0.5043351991660994
bank,perceptron,acc,ana--beatriz,v2,0.8993362831858407
bank,svm,f1,ana--beatriz,v2,0.4735002912055912
bank,svm,acc,ana--beatriz,v2,0.8993362831858407
bank,naive_bayes,f1,ana--beatriz,v2,0.6178300865800865
bank,naive_bayes,acc,ana--beatriz,v2,0.834070796460177
bank,decision_tree,f1,ana--beatriz,v2,0.6525763478443795
bank,decision_tree,acc,ana--beatriz,v2,0.8949115044247787
bank,knn,f1,ana--beatriz,v2,0.5197270922461762
bank,knn,acc,ana--beatriz,v2,0.8949115044247787
glass_identification,perceptron,acc,andrey--jodar,v2,0.5
glass_identification,svm,f1,andrey--jodar,v2,0.2742857142857143
glass_identification,svm,acc,andrey--jodar,v2,0.4761904761904761
glass_identification,naive_bayes,f1,andrey--jodar,v2,0.4250528444076831
glass_identification,naive_bayes,acc,andrey--jodar,v2,0.4523809523809524
glass_identification,decision_tree,f1,andrey--jodar,v2,0.5037037037037037
glass_identification,decision_tree,acc,andrey--jodar,v2,0.6904761904761905
glass_identification,knn,f1,andrey--jodar,v2,0.6838095238095239
glass_identification,knn,acc,andrey--jodar,v2,0.6666666666666666
spambase,perceptron,f1,arthur--heiji,v2,0.8850867594965801
spambase,perceptron,acc,arthur--heiji,v2,0.8913043478260869
spambase,svm,f1,arthur--heiji,v2,0.9332786491677336
spambase,svm,acc,arthur--heiji,v2,0.9369565217391304
spambase,naive_bayes,f1,arthur--heiji,v2,0.8272608437314319
spambase,naive_bayes,acc,arthur--heiji,v2,0.8282608695652174
spambase,decision_tree,f1,arthur--heiji,v2,0.9115639719311736
spambase,decision_tree,acc,arthur--heiji,v2,0.9163043478260868
spambase,knn,f1,arthur--heiji,v2,0.8936982557672213
spambase,knn,acc,arthur--heiji,v2,0.9
wine_quality_red,perceptron,f1,arthur-hydeki,v2,0.7075652598981292
wine_quality_red,svm,acc,arthur-hydeki,v2,0.87926356129573
wine_quality_red,svm,f1,arthur-hydeki,v2,0.9013502323796762
wine_quality_red,naive_bayes,acc,arthur-hydeki,v2,0.8510398505651091
wine_quality_red,naive_bayes,f1,arthur-hydeki,v2,0.8218794116999818
wine_quality_red,knn,acc,arthur-hydeki,v2,0.8501200175583156
wine_quality_red,knn,f1,arthur-hydeki,v2,0.8680324607029387
wine_quality_red,decision_tree,acc,arthur-hydeki,v2,0.7694895995308607
wine_quality_red,decision_tree,f1,arthur-hydeki,v2,0.7529439248059937
insurance,logistic_regression,acc,arthur-protazio,v2,0.8619402985074627
insurance,logistic_regression,f1,arthur-protazio,v2,0.8548945068060868
insurance,decision_tree,acc,arthur-protazio,v2,0.8283582089552238
insurance,decision_tree,f1,arthur-protazio,v2,0.8289835603188832
insurance,random_forest,acc,arthur-protazio,v2,0.8880597014925373
insurance,random_forest,f1,arthur-protazio,v2,0.8877769276131564
insurance,knn,acc,arthur-protazio,v2,0.8432835820895522
insurance,knn,f1,arthur-protazio,v2,0.8388986964817491
insurance,svm,acc,arthur-protazio,v2,0.917910447761194
insurance,svm,f1,arthur-protazio,v2,0.91652977848988
column_2c,perceptron,f1,eduardo-barbeiro,v2,0.8927354035713169
column_2c,perceptron,acc,eduardo-barbeiro,v2,0.9032258064516128
column_2c,svm,f1,eduardo-barbeiro,v2,0.4576850932362352
column_2c,svm,acc,eduardo-barbeiro,v2,0.6129032258064516
column_2c,naive_bayes,f1,eduardo-barbeiro,v2,0.8770114942528736
column_2c,naive_bayes,acc,eduardo-barbeiro,v2,0.8870967741935484
column_2c,decision_tree,f1,eduardo-barbeiro,v2,0.8840492034684412
column_2c,decision_tree,acc,eduardo-barbeiro,v2,0.9032258064516128
column_2c,knn,f1,eduardo-barbeiro,v2,0.6568366592756837
column_2c,knn,acc,eduardo-barbeiro,v2,0.6935483870967742
Automobile,perceptron,acc,eduardo-cavazin,v2,0.4516129032258064
Automobile,svm,f1,eduardo-cavazin,v2,0.1663082437275985
Automobile,svm,acc,eduardo-cavazin,v2,0.3225806451612903
Automobile,naive_bayes,f1,eduardo-cavazin,v2,0.3267142214510635
Automobile,naive_bayes,acc,eduardo-cavazin,v2,0.5806451612903226
Automobile,decision_tree,f1,eduardo-cavazin,v2,0.6063725490196078
Automobile,decision_tree,acc,eduardo-cavazin,v2,0.7419354838709677
Automobile,knn,f1,eduardo-cavazin,v2,0.4109311740890688
Automobile,knn,acc,eduardo-cavazin,v2,0.5161290322580645
accelerator-mobile,perceptron,f1,gregory--soares,v2,0.495
accelerator-mobile,perceptron,acc,gregory--soares,v2,0.981
accelerator-mobile,svm,f1,gregory--soares,v2,0.813
accelerator-mobile,svm,acc,gregory--soares,v2,0.988
accelerator-mobile,naive_bayes,f1,gregory--soares,v2,0.495
accelerator-mobile,naive_bayes,acc,gregory--soares,v2,0.981
accelerator-mobile,decision_tree,f1,gregory--soares,v2,0.917
accelerator-mobile,decision_tree,acc,gregory--soares,v2,0.994
accelerator-mobile,knn,f1,gregory--soares,v2,0.821
accelerator-mobile,knn,acc,gregory--soares,v2,0.987
iris,perceptron,acc,gustavo--cruz-v2,v2,0.9333333333333332
iris,perceptron,f1,gustavo--cruz-v2,v2,0.9282296650717704
iris,svm,acc,gustavo--cruz-v2,v2,0.5
iris,svm,f1,gustavo--cruz-v2,v2,0.3333333333333333
iris,naive_bayes,acc,gustavo--cruz-v2,v2,1.0
iris,naive_bayes,f1,gustavo--cruz-v2,v2,1.0
iris,decision_tree,acc,gustavo--cruz-v2,v2,0.9666666666666668
iris,decision_tree,f1,gustavo--cruz-v2,v2,0.6444444444444445
iris,knn,acc,gustavo--cruz-v2,v2,0.8333333333333334
iris,knn,f1,gustavo--cruz-v2,v2,0.4545454545454545
garments-workers,perceptron,acc,isaque--cruz,v2,0.6425339366515838
garments-workers,perceptron,f1,isaque--cruz,v2,0.6151014109347444
garments-workers,svm,acc,isaque--cruz,v2,0.7714932126696833
garments-workers,svm,f1,isaque--cruz,v2,0.4630438181840051
garments-workers,naive_bayes,acc,isaque--cruz,v2,0.8144796380090498
garments-workers,naive_bayes,f1,isaque--cruz,v2,0.6959089841259187
garments-workers,decision_tree,acc,isaque--cruz,v2,0.7918552036199095
garments-workers,decision_tree,f1,isaque--cruz,v2,0.7265513624014848
garments-workers,knn,acc,isaque--cruz,v2,0.8099547511312217
garments-workers,knn,f1,isaque--cruz,v2,0.7376854599406528
wine,perceptron,acc,larissa-v2,v2,0.9166666666666666
wine,perceptron,f1,larissa-v2,v2,0.9163636363636364
wine,svm,acc,larissa-v2,v2,0.9444444444444444
wine,svm,f1,larissa-v2,v2,0.944055944055944
wine,naive_bayes,acc,larissa-v2,v2,0.9444444444444444
wine,naive_bayes,f1,larissa-v2,v2,0.944055944055944
wine,knn,acc,larissa-v2,v2,0.8888888888888888
wine,knn,f1,larissa-v2,v2,0.8876328502415459
wine,decision_tree,acc,larissa-v2,v2,0.8055555555555556
wine,decision_tree,f1,larissa-v2,v2,0.8088405797101449
tic_tac_toe,perceptron,f1,leandro-menoni,v2,0.55
tic_tac_toe,perceptron,acc,leandro-menoni,v2,0.57
tic_tac_toe,svm,f1,leandro-menoni,v2,0.41
tic_tac_toe,svm,acc,leandro-menoni,v2,0.65
tic_tac_toe,naive_bayes,f1,leandro-menoni,v2,0.59
tic_tac_toe,naive_bayes,acc,leandro-menoni,v2,0.72
tic_tac_toe,decision_tree,f1,leandro-menoni,v2,0.85
tic_tac_toe,decision_tree,acc,leandro-menoni,v2,0.86
tic_tac_toe,knn,f1,leandro-menoni,v2,0.82
tic_tac_toe,knn,acc,leandro-menoni,v2,0.84
wine-white,decision_tree,acc,lucas-v2,v2,0.7722165474974464
wine-white,decision_tree,f1,lucas-v2,v2,0.7457246516070045
wine-white,knn,acc,lucas-v2,v2,0.7568947906026557
wine-white,knn,f1,lucas-v2,v2,0.7191258016297797
wine-white,naive_bayes,acc,lucas-v2,v2,0.6813074565883555
wine-white,naive_bayes,f1,lucas-v2,v2,0.6494808449695668
